eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return
345.307497908865,385.568607567074,374.35335666609,351.396936999704,414.247388630398
355.736142246697,341.800874587282,358.372980398796,436.688746397746,376.91307270583
300.091609018223,364.251924215263,410.783707754235,526.954631698594,502.27343672675
356.256004756258,438.83797200818,458.272685016412,479.676551503471,506.80235038264
394.69957985824,604.114614715425,437.964088948221,496.568551468992,594.481057420826
551.548319637785,412.262538310657,673.992267770469,708.668754448116,528.110022980433
577.877127996392,554.675577022598,500.655512600105,674.405836614781,554.200152172708
437.997948320053,1136.69822354299,648.473170158109,1023.54078237366,586.848541932862
690.225267974169,1541.9442734066,721.869012016508,1043.10951325943,880.588459161267
2438.94822195305,1256.99821359928,659.805901935685,5123.7437049047,3936.01702803676
1565.62956673064,2094.23689560856,670.465848254002,4965.74428867129,3885.66535384929
1875.27762675435,5060.52562284565,3727.50331736646,5277.09142852894,2300.48113883781
3866.6082008161,3994.68140498067,4808.09959143465,4993.54607612958,4997.18123909776
4123.76845908543,4011.4525908953,1316.05565841472,4943.1150296645,4797.71801567627
2164.37124438286,4927.24885456413,5106.92981118606,5213.49749215972,5193.20799743354
2457.37952585671,4852.68494910116,3945.07702292081,4832.35082519222,4447.88816601243
4947.89084187986,5420.45356168723,4982.74351480687,2952.36078853779,2449.46087514797
2650.64319294731,5097.69026961158,4837.48840263217,5261.04083683049,4555.44006625103
4268.85486254058,5009.48208429607,1947.24669674608,5163.33855799648,3589.96381956628
4908.88316796078,3965.63751460957,5015.72100785201,5245.89368112386,2507.18479370722
5134.23129287998,5124.79401115177,5025.43399947251,852.736608491664,4721.02557755696
5306.38123048192,1210.43821140118,1365.18736256223,4706.92833511119,5349.69243195754
5031.85374671385,4971.10747040145,5289.42332319591,407.325447902874,3062.00515070771
2823.87320573166,5375.93635158436,5127.0541969886,2867.40249861701,5204.17947563792
1696.45316961165,5148.80066476293,4784.92632941482,4206.62194003975,1630.64439422568
4974.83386394979,5065.81297726559,3668.03292226145,4913.07659978016,4875.76714301871
4354.87480107692,5157.88933054731,3882.38112624241,5162.05375596669,5394.1219856228
5259.2597177643,4391.6982334929,5073.78045604146,5531.61411671,5343.46911413596
4423.24458799873,5192.50350645937,3871.73108838013,5470.73245296838,5401.56709628333
5330.21677470392,5367.07203894014,4862.73884753978,5205.94495522995,2293.38672606098
4404.12693334262,5350.89948450148,4902.17471047984,4382.06726313188,4681.9423777398
4079.99082601857,2992.10522316888,5429.50825462308,5691.74528585584,5829.21564535245
5373.90859927872,5476.80859819037,5332.70260154595,5423.98447102161,3876.6443888411
4481.66507401044,5522.89130794631,5008.27070915747,5531.147012609,3579.1430175868
4364.82430197823,3672.37824425065,4843.43830937628,5382.63206680172,5204.81774977031
5399.30911894579,5004.76228502372,5000.3967380549,4281.26237789663,5243.2037625977
5263.95458989722,5400.26690763224,1928.70416554386,5426.36324221181,5880.8099518432
5370.26009827034,5347.98046179373,5249.01174928882,4594.81977819417,5972.52540592976
5466.80208249428,5092.6567234938,5339.04041476714,4822.20785149522,5432.96883663417
4594.28438721817,3762.93369808081,4337.97788056187,2726.14524784324,5465.02284204974
5458.79218222547,5528.00842845085,4343.77238223571,2860.68521202683,4733.96562255416
3702.42604977072,4432.07417425989,5493.01253009388,5426.28485266651,6068.96960841835
2566.51053565674,5838.52588222903,5231.49694560337,5624.77122677233,4086.93484182361
4485.80395867548,5804.88564548476,5204.39009629092,5842.36889628417,5781.86886377622
5636.98249374976,5885.17922598277,4509.4066629143,5802.14454005284,4936.14693583889
5712.49266902302,5945.2598670354,5487.52681054679,5891.15087689412,5950.45345098776
4693.87656602736,5843.59180766426,5276.45670168577,5870.42525645041,5907.89529638346
5081.63634024708,5923.13729664257,5775.45315823613,5949.79966479196,6132.44670859779
3835.45672439076,5820.94620320277,5688.47023624246,5657.8055658464,5269.29340273016
5247.32133948796,5799.69248233368,5717.53224694963,6012.32722857123,5614.41906899146
5184.78211613989,5809.0171028514,5726.4626785498,5244.32987422974,5481.35522538907
5281.22314695439,1706.60015855164,5474.4540893113,5907.00482702653,6323.41043090365
5394.99047057289,5696.167303012,5251.58811333067,6120.05600162386,4270.96201863831
5639.62155022344,4659.99817686601,3870.48546449077,5816.08286899191,6387.7386506086
5660.27715487446,5531.54560733259,5179.96493321605,6146.17622294123,6564.07826853576
5671.74894169125,6088.34418314772,2475.0271491199,6140.69995586499,6423.45427478705
5698.17142532314,6223.47892893917,1189.24572466349,6003.61306878189,6212.12361070365
5664.84194232087,6251.47280614706,580.407037507258,5960.37314694848,6229.59997979581
4728.6448740996,6225.42840510924,5732.39260279824,5506.15404690444,6356.60363989904
